id;placed_date;status;code;customer_id
1;2022-03-10T10:07:43;COMPLETED;Electronics;1
2;2022-03-10T04:29:42;COMPLETED;payment PCI violet;2
3;2022-03-10T14:58:35;CANCELLED;background out-of-the-box withdrawal;2
4;2022-03-09T19:01:36;COMPLETED;Music real-time;1
5;2022-03-10T03:05:45;CANCELLED;Hat;1
6;2022-03-10T15:50:33;PENDING;solid navigating;2
7;2022-03-10T01:46:19;PENDING;Toys maroon;1
8;2022-03-10T14:35:53;COMPLETED;Developer;2
9;2022-03-09T22:04:17;COMPLETED;Credit Soft Cotton;1
10;2022-03-10T12:46:53;CANCELLED;contingency Bedfordshire;2
